incident_id,source_text_path,output_json_path,provider,model,extracted,extracted_at,valid,validation_errors,error,raw_response_path
02-may-2024_gc20478_murphy20ev2010r,data/raw/bsee/text/02-may-2024_gc20478_murphy20ev2010r.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/02-may-2024_gc20478_murphy20ev2010r.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T07:25:39.144293+00:00,True,,,
07-mar-2024_kc20785_llog_ev2010r2028129,data/raw/bsee/text/07-mar-2024_kc20785_llog_ev2010r2028129.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/07-mar-2024_kc20785_llog_ev2010r2028129.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T07:26:30.597383+00:00,True,,,
08-july-2024_st2023cc_cantium20ev2010r,data/raw/bsee/text/08-july-2024_st2023cc_cantium20ev2010r.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/08-july-2024_st2023cc_cantium20ev2010r.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T07:27:36.007687+00:00,True,,,
10-nov-2024_gc432_murphy20ev2010r,data/raw/bsee/text/10-nov-2024_gc432_murphy20ev2010r.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/10-nov-2024_gc432_murphy20ev2010r.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T07:28:17.841719+00:00,True,,,
11-jul-2024_hia5_mantaray_ev2010r2028129_0,data/raw/bsee/text/11-jul-2024_hia5_mantaray_ev2010r2028129_0.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/11-jul-2024_hia5_mantaray_ev2010r2028129_0.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T07:29:04.486373+00:00,True,,,
13-mar-2024_ss189_wog_ev2010,data/raw/bsee/text/13-mar-2024_ss189_wog_ev2010.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/13-mar-2024_ss189_wog_ev2010.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T07:29:51.603882+00:00,True,,,
1620feb202024_wr202920_chevron_ev2010r,data/raw/bsee/text/1620feb202024_wr202920_chevron_ev2010r.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/1620feb202024_wr202920_chevron_ev2010r.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T07:30:40.737593+00:00,True,,,
18-feb-202320bp20mc2077820pdq,data/raw/bsee/text/18-feb-202320bp20mc2077820pdq.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/18-feb-202320bp20mc2077820pdq.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T07:32:49.522537+00:00,True,,,
18-jun-2023_chevron_platform20gail_ev2010r,data/raw/bsee/text/18-jun-2023_chevron_platform20gail_ev2010r.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/18-jun-2023_chevron_platform20gail_ev2010r.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T07:33:25.729053+00:00,True,,,
1820jan202024_gc20478_murphy_20ev2010r,data/raw/bsee/text/1820jan202024_gc20478_murphy_20ev2010r.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/1820jan202024_gc20478_murphy_20ev2010r.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T07:33:56.591277+00:00,True,,,
