incident__incident_id,incident__source__source_name,incident__source__source_type,incident__source__source_id,incident__source__source_url,incident__context__document_id,incident__context__provider,incident__context__model,incident__context__extracted_at,incident__context__region,incident__context__operator,incident__context__operating_phase,incident__context__materials,incident__event__top_event,incident__event__incident_type,incident__event__summary,incident__event__recommendations,incident__notes__schema_version,incident__pifs__people__competence_value,incident__pifs__people__competence_mentioned,incident__pifs__people__fatigue_value,incident__pifs__people__fatigue_mentioned,incident__pifs__people__communication_value,incident__pifs__people__communication_mentioned,incident__pifs__people__situational_awareness_value,incident__pifs__people__situational_awareness_mentioned,incident__pifs__work__procedures_value,incident__pifs__work__procedures_mentioned,incident__pifs__work__workload_value,incident__pifs__work__workload_mentioned,incident__pifs__work__time_pressure_value,incident__pifs__work__time_pressure_mentioned,incident__pifs__work__tools_equipment_value,incident__pifs__work__tools_equipment_mentioned,incident__pifs__organisation__safety_culture_value,incident__pifs__organisation__safety_culture_mentioned,incident__pifs__organisation__management_of_change_value,incident__pifs__organisation__management_of_change_mentioned,incident__pifs__organisation__supervision_value,incident__pifs__organisation__supervision_mentioned,incident__pifs__organisation__training_value,incident__pifs__organisation__training_mentioned,bowtie__hazards_json,bowtie__threats_json,bowtie__consequences_json
02-may-2024_gc20478_murphy20ev2010r,,,,,,,,,Gulf of Mexico,Murphy Exploration & Production Company – USA,production,['hydraulic fluid'],Loss of Primary Containment,Equipment Failure / Crane Lifting Incident,"On May 2, 2024, during 5-year recertification load testing of the Forward Starboard knuckle boom crane (KBC #1) on the drillship Noble Stanley Lafosse, a winch brake assembly failure occurred at approximately 70 metric tons while attempting to reach the full load test of 93.5 MT. The failure resulted in uncontrolled descent of a water bag test load, causing a Loss of Primary Containment (LOPC) due to hydraulic test port failure. The water bag contacted the take-on station corner, ripped open, and descended into the Gulf of Mexico. Property damage totaled $168,150. Root cause was determined to be crane overload due to improper sea lift area designation combined with lack of personnel training on Automatic Overload Protection System (AOPS) functionality and inadequate procedures.","Reset sea lift area when performing 5-year load test over the side of the vessel; Provide proper training on AOPS functionality to personnel performing load tests; Revise job instructions to include safety system checks before load test, not after; Improve maintenance procedures for brake overhaul and installation to ensure Quality Control checks; Update work task references and load test procedures to specify sea lift area reset requirements",2.3,low,True,,False,low,True,,False,low,True,,False,,False,low,True,,False,low,True,,False,low,True,"[{""hazard_id"": ""H-001"", ""name"": ""Pressurized hydraulic system"", ""description"": null}, {""hazard_id"": ""H-002"", ""name"": ""Suspended load during crane operations"", ""description"": null}, {""hazard_id"": ""H-003"", ""name"": ""Mechanical brake system failure"", ""description"": null}]","[{""threat_id"": ""T-001"", ""name"": ""Brake assembly failure due to overload"", ""description"": null}, {""threat_id"": ""T-002"", ""name"": ""Sprag clutch structural failure"", ""description"": null}, {""threat_id"": ""T-003"", ""name"": ""Hydraulic motor damage from uncontrolled descent"", ""description"": null}, {""threat_id"": ""T-004"", ""name"": ""Improper sea lift area designation"", ""description"": null}, {""threat_id"": ""T-005"", ""name"": ""AOPS not activated due to incorrect load parameters"", ""description"": null}]","[{""consequence_id"": ""CON-001"", ""name"": ""Loss of Primary Containment - hydraulic fluid release"", ""description"": null, ""severity"": null}, {""consequence_id"": ""CON-002"", ""name"": ""Water bag loss to Gulf of Mexico"", ""description"": null, ""severity"": null}, {""consequence_id"": ""CON-003"", ""name"": ""Property damage to crane equipment"", ""description"": null, ""severity"": null}, {""consequence_id"": ""CON-004"", ""name"": ""Deck contamination and slip hazard"", ""description"": null, ""severity"": null}]"
07-mar-2024_kc20785_llog_ev2010r2028129,,,,,,,,,"Gulf of Mexico, Keathley Canyon Block 785","LLOG Exploration Offshore, L.L.C.",completion,"['drill line (2-inch diameter steel)', 'nylon web sling']",Dropped load striking personnel,Slip/Trip/Fall with struck-by injury,"On 7 March 2024 at 1500 hours, during slip and cut drill line operations on the Seadrill West Neptune drillship, a 2-inch diameter drill line (approximately 19 feet long, 148 pounds) slipped from a nylon web sling being used with an air tugger and fell freely to the rig floor. A Seadrill employee attempting to exit the area tripped over coiled drill line and fell, and was subsequently struck by the falling drill line on his hardhat, middle back, and left shoulder. The employee sustained a torn labrum and shoulder strain requiring 10-12 weeks of physical therapy.",,2.3,,False,,False,poor,True,inadequate,True,inadequate,True,,False,,False,improper use,True,,False,inadequate,True,inadequate,True,,False,"[{""hazard_id"": ""H-001"", ""name"": ""Suspended load (drill line)"", ""description"": null}, {""hazard_id"": ""H-002"", ""name"": ""Abnormal twist formation in drill line during spooling"", ""description"": null}, {""hazard_id"": ""H-003"", ""name"": ""Personnel in line of fire during lifting operations"", ""description"": null}]","[{""threat_id"": ""T-001"", ""name"": ""Improper rigging of suspended load with nylon web sling"", ""description"": null}, {""threat_id"": ""T-002"", ""name"": ""Loss of grip/bite of nylon web sling on drill line"", ""description"": null}, {""threat_id"": ""T-003"", ""name"": ""Deviation from standard slip and cut procedures"", ""description"": null}, {""threat_id"": ""T-004"", ""name"": ""Inadequate communication of lifting method to supervisor"", ""description"": null}, {""threat_id"": ""T-005"", ""name"": ""Personnel positioned in drop zone during lowering operation"", ""description"": null}]","[{""consequence_id"": ""CON-001"", ""name"": ""Dropped load striking personnel"", ""description"": null, ""severity"": null}, {""consequence_id"": ""CON-002"", ""name"": ""Personnel injury (torn labrum, shoulder strain)"", ""description"": null, ""severity"": null}, {""consequence_id"": ""CON-003"", ""name"": ""Lost time injury requiring evacuation and medical treatment"", ""description"": null, ""severity"": null}]"
08-july-2024_st2023cc_cantium20ev2010r,,,,,,,,,Gulf of Mexico,"Cantium, LLC",drilling,"['drill pipe', 'drilling fluid']",Traveling block struck crown saver assembly,Structural Damage - Material Handling,"On July 8, 2024, at 1908 hours, while pulling out of the hole with drill pipe on the jack-up Enterprise 205 at South Timbalier Block 23, the traveling block struck the crown saver assembly with approximately 117,000 lbs overpull, resulting in $11,210 in damages to the crown saver and crown-o-matic. The driller lost situational awareness by focusing on pipe tally while pulling, and the crown-o-matic failed to trip when contacted by the drill line because the barrel was not set properly. The incident was not immediately reported to BSEE.",Develop rig-specific procedure for checking the crown-o-matic with step-by-step instructions; Ensure Job Safety Analysis identifies the hazard of traveling block striking crown block assembly; Implement requirement for crew member to monitor wire rope and count wraps during crown-o-matic check; Ensure proper setup and maintenance of crown-o-matic barrel; Improve communication of job instructions for pulling out of hole operations; Establish fleetwide procedure for checking crown-o-matic,2.3,negative,True,,False,negative,True,negative,True,negative,True,,False,,False,negative,True,negative,True,,False,negative,True,negative,True,"[{""hazard_id"": ""H-001"", ""name"": ""Uncontrolled upward movement of traveling block during pull out of hole"", ""description"": null}, {""hazard_id"": ""H-002"", ""name"": ""Mechanical failure of crown-o-matic device"", ""description"": null}, {""hazard_id"": ""H-003"", ""name"": ""Loss of situational awareness during drilling operations"", ""description"": null}]","[{""threat_id"": ""T-001"", ""name"": ""Traveling block continues upward past intended stop point"", ""description"": null}, {""threat_id"": ""T-002"", ""name"": ""Crown-o-matic barrel improperly set, preventing trip mechanism activation"", ""description"": null}, {""threat_id"": ""T-003"", ""name"": ""Driller diverts attention from pipe movement to pipe tally during pull out"", ""description"": null}, {""threat_id"": ""T-004"", ""name"": ""Floorhand fails to count tool joints as drill pipe ascends"", ""description"": null}]","[{""consequence_id"": ""CON-001"", ""name"": ""Traveling block strikes crown saver assembly"", ""description"": null, ""severity"": null}, {""consequence_id"": ""CON-002"", ""name"": ""Structural damage to crown saver and crown block"", ""description"": null, ""severity"": null}, {""consequence_id"": ""CON-003"", ""name"": ""Equipment downtime and operational suspension"", ""description"": null, ""severity"": null}, {""consequence_id"": ""CON-004"", ""name"": ""Financial loss and repair costs"", ""description"": null, ""severity"": null}]"
10-nov-2024_gc432_murphy20ev2010r,,,,,,,,,"Gulf of America, Green Canyon Block 432",Murphy Exploration & Production Company - USA,workover,[],Slip/Trip/Fall with Wave Strike,Slip/Trip/Fall,"On 10-NOV-2024 at 0145 hours, an injured person (IP) on the Transocean Deepwater Invictus drillship was struck by a 15-foot wave while standing at the aft handrail despite being informed the stern was secured due to deteriorating weather and building seas. The IP was knocked approximately 20 feet across the rig, possibly striking a bollard, and sustained a fractured right femur. The IP had less than one year offshore experience and was not assigned duties in the secured area but chose to enter it to observe the water.",BSEE Houma District recommends the Office of Incident Investigations issue a safety alert/bulletin regarding this incident,2.3,low,True,,False,,False,low,True,low,True,,False,,False,,False,,False,,False,low,True,low,True,"[{""hazard_id"": ""H-001"", ""name"": ""Wave action and high sea states"", ""description"": null}, {""hazard_id"": ""H-002"", ""name"": ""Adverse weather conditions"", ""description"": null}, {""hazard_id"": ""H-003"", ""name"": ""Slipping and falling on wet surfaces"", ""description"": null}]","[{""threat_id"": ""T-001"", ""name"": ""Personnel entering secured area despite warning"", ""description"": null}, {""threat_id"": ""T-002"", ""name"": ""Failure to follow supervisor direction and procedures"", ""description"": null}, {""threat_id"": ""T-003"", ""name"": ""Inadequate hazard awareness due to limited offshore experience"", ""description"": null}]","[{""consequence_id"": ""CON-001"", ""name"": ""Personnel injury - fractured femur"", ""description"": null, ""severity"": null}, {""consequence_id"": ""CON-002"", ""name"": ""Lost time accident (>3 days)"", ""description"": null, ""severity"": null}, {""consequence_id"": ""CON-003"", ""name"": ""Medical evacuation required"", ""description"": null, ""severity"": null}]"
11-jul-2024_hia5_mantaray_ev2010r2028129_0,,,,,,,,,Gulf of Mexico - High Island Block A-5,"Manta Ray Gathering Company, L.L.C / Genesis Energy LP",production,['lifeboat capsule'],Head injury from winch assist handle strike,Other Injury,"On July 11, 2024, at 0730 hours, a contract pipeline operator from Quality Process Services suffered a serious head injury when struck by a winch assist handle during a routine lifeboat capsule inspection at the High Island A-5 Manta Ray Gathering Facility. The handle remained in the socket when the powered winch was engaged, causing it to rotate and strike the operator in the head. The operator sustained a fractured skull requiring surgery and was transported via USCG to UTMB in Galveston. The incident was caused by failure to remove the winch assist handle before engaging the powered winch, compounded by a bypassed safety device and lack of a Job Safety Analysis.",Conduct onsite training for all operators on proper winch operation and safety protocols; Develop and implement a Job Safety and Health Analysis (JSHA) for routine tasks including winch operations; Review and update operational procedures and checklists to ensure all necessary safety measures are included; Ensure winch assist handle removal is a mandatory step before powered winch engagement,2.3,inadequate,True,,False,,False,inadequate,True,inadequate,True,,False,,False,inadequate,True,inadequate,True,,False,,False,inadequate,True,"[{""hazard_id"": ""H-001"", ""name"": ""Rotating winch mechanism with removable handle"", ""description"": null}, {""hazard_id"": ""H-002"", ""name"": ""Personnel proximity to moving equipment during winch operation"", ""description"": null}]","[{""threat_id"": ""T-001"", ""name"": ""Winch assist handle left in socket during powered winch operation"", ""description"": null}, {""threat_id"": ""T-002"", ""name"": ""Safety device bypass allowing winch operation with handle in place"", ""description"": null}, {""threat_id"": ""T-003"", ""name"": ""Operator positioned at upper davit section during winch operation"", ""description"": null}]","[{""consequence_id"": ""CON-001"", ""name"": ""Head strike injury from rotating winch assist handle"", ""description"": null, ""severity"": null}, {""consequence_id"": ""CON-002"", ""name"": ""Skull fracture requiring surgical intervention"", ""description"": null, ""severity"": null}, {""consequence_id"": ""CON-003"", ""name"": ""Loss of personnel availability due to medical evacuation and treatment"", ""description"": null, ""severity"": null}]"
13-mar-2024_ss189_wog_ev2010,,,,,,,,,"Gulf of Mexico, Ship Shoal Block 189",Walter Oil & Gas Corporation,plug and abandon,"['tools', 'lifting equipment']",Dropped load from crane,structural damage,"On March 13, 2024, at approximately 20:10 hours, a 4x40' basket of plug and abandon tools weighing 13,000 pounds was being offloaded from the M/V GOL Cowboy to the upper cantilever of the jack-up Enterprise 264 using the port side crane. The stinger, rated for 9.80 tons in vertical pull, failed due to internal corrosion buildup from moisture in the socket. The basket fell and landed on the control room, P-tanks, and platform on top of the living quarters, causing structural damage estimated at $7,500. No injuries occurred. The failure to inspect the stinger prior to use was identified as a significant contributing factor.",Preventive Maintenance Daily checklist should clearly identify inspecting the stinger as a required step; Cold work permits and Job Safety Analysis documents should specify inspecting the stinger; Revision of sling and lifting gear replacement frequency,2.3,low,True,,False,,False,low,True,low,True,,False,,False,low,True,medium,True,,False,low,True,,False,"[{""hazard_id"": ""H-001"", ""name"": ""Lifting operations with suspended load"", ""description"": null}, {""hazard_id"": ""H-002"", ""name"": ""Corrosion of lifting equipment"", ""description"": null}]","[{""threat_id"": ""T-001"", ""name"": ""Stinger structural failure due to internal corrosion"", ""description"": null}, {""threat_id"": ""T-002"", ""name"": ""Inadequate inspection of lifting equipment"", ""description"": null}]","[{""consequence_id"": ""CON-001"", ""name"": ""Dropped load striking platform structures"", ""description"": null, ""severity"": null}, {""consequence_id"": ""CON-002"", ""name"": ""Structural damage to control room and P-tanks"", ""description"": null, ""severity"": null}, {""consequence_id"": ""CON-003"", ""name"": ""Potential personnel injury from falling load"", ""description"": null, ""severity"": null}]"
1620feb202024_wr202920_chevron_ev2010r,,,,,,,,,"Gulf of Mexico, Walker Ridge Block 29",Chevron U.S.A. Inc.,drilling,['16 inch casing'],Caught Between Incident,Structural Damage - Crane Other Lifting,"On February 16, 2024, at 13:29 hours, a deck foreman (IP) was struck by a suspended bundle of 16-inch casing weighing approximately 11,500 lbs during offloading operations on the Nabors MODS 400 rig. The IP was supervising the operation and verifying casing tally with his back turned to the load. The casing bundle swung in his direction and struck him on the right hip, forcing his left hip into a sub-rack basket, resulting in three pelvic fractures. The IP was medivaced to a hospital and discharged on February 20, 2024.",,2.3,inadequate,True,,False,inadequate,True,inadequate,True,inadequate,True,excessive,True,,False,,False,inadequate,True,,False,inadequate,True,,False,"[{""hazard_id"": ""H-001"", ""name"": ""Suspended Load (Casing Bundle)"", ""description"": null}, {""hazard_id"": ""H-002"", ""name"": ""Caught Between Hazard"", ""description"": null}, {""hazard_id"": ""H-003"", ""name"": ""Impact Zone Reduction"", ""description"": null}]","[{""threat_id"": ""T-001"", ""name"": ""Worker positioned in impact zone during load swing"", ""description"": null}, {""threat_id"": ""T-002"", ""name"": ""Failure to recognize hazard of changing work area"", ""description"": null}, {""threat_id"": ""T-003"", ""name"": ""Worker turned back to suspended load"", ""description"": null}, {""threat_id"": ""T-004"", ""name"": ""Inadequate communication and warning response"", ""description"": null}]","[{""consequence_id"": ""CON-001"", ""name"": ""Worker struck by suspended casing bundle"", ""description"": null, ""severity"": null}, {""consequence_id"": ""CON-002"", ""name"": ""Pelvic fractures (three fractures)"", ""description"": null, ""severity"": null}, {""consequence_id"": ""CON-003"", ""name"": ""Medical evacuation and hospitalization"", ""description"": null, ""severity"": null}, {""consequence_id"": ""CON-004"", ""name"": ""Lost time accident (>3 days)"", ""description"": null, ""severity"": null}]"
18-feb-202320bp20mc2077820pdq,,,,,,,,,Gulf of Mexico,BP Exploration & Production Inc.,abandonment,"['drill pipe', 'drilling fluid']",Dropped Drill Pipe,Structural Damage / Dropped Load,"On February 18, 2023, at 21:27 hours, while performing pulling out of hole (POOH) operations on the TA004 well at MC 778, the Driller inadvertently opened the pipe elevators before the Pipe Racking System (PRS) could secure the 13th stand of 4-1/2 inch drill pipe. The stand fell across the rig floor, striking the auxiliary PRS hoist and falling within close proximity of three Floor Hands. One Floor Hand slipped on the deck while evacuating and sustained injuries to his knee and hip, requiring medical evacuation.",,2.3,inadequate,True,,False,poor,True,inadequate,True,not_followed,True,,False,,False,degraded,True,poor,True,,False,inadequate,True,inadequate,True,"[{""hazard_id"": ""H-001"", ""name"": ""Suspended Load (Drill Pipe)"", ""description"": null}, {""hazard_id"": ""H-002"", ""name"": ""Slippery Rig Floor Surface"", ""description"": null}, {""hazard_id"": ""H-003"", ""name"": ""Elevator System Malfunction"", ""description"": null}]","[{""threat_id"": ""T-001"", ""name"": ""Driller opens elevators before PRS secures drill pipe"", ""description"": null}, {""threat_id"": ""T-002"", ""name"": ""Poor communication between Driller and Assistant Driller"", ""description"": null}, {""threat_id"": ""T-003"", ""name"": ""Elevator malfunction or sticking"", ""description"": null}, {""threat_id"": ""T-004"", ""name"": ""Floor Hand slips on wet/slippery deck during evacuation"", ""description"": null}]","[{""consequence_id"": ""CON-001"", ""name"": ""Dropped drill pipe striking personnel"", ""description"": null, ""severity"": null}, {""consequence_id"": ""CON-002"", ""name"": ""Personnel injury (knee and hip trauma)"", ""description"": null, ""severity"": null}, {""consequence_id"": ""CON-003"", ""name"": ""Damage to rig equipment (PRS hoist, drill pipe, covers)"", ""description"": null, ""severity"": null}, {""consequence_id"": ""CON-004"", ""name"": ""Potential multiple fatalities"", ""description"": null, ""severity"": null}]"
18-jun-2023_chevron_platform20gail_ev2010r,,,,,,,,,"Pacific OCS Region, Gulf of Mexico",Chevron U.S.A. Inc.,decommissioning,"['marine growth', 'steel conductors']",Amputation injury during conductor removal operations,Amputation - Lost Time Accident (>3 days),"On June 18, 2023 at 18:35 hours, an injured person (IP) suffered amputation of the middle and ring finger of his left hand while adjusting chains on a marine growth removal system (MGRS) during conductor removal operations at Platform Gail. The IP placed his left hand fingers under the chain during an assumed pause in conductor lifting. The conductor resumed rising, tightening the chain and trapping the IP's hand, resulting in amputation of finger tips between the fingernail and first knuckle. The incident occurred due to inadequate verbal communication regarding the 'all stop' command, lack of risk assessment for the MGRS methods employed, and deviation from the approved Application for Permit to Modify (APM) which specified use of diver methods with water jets.","Develop and implement comprehensive written management of change (MOC) procedures for switching between MGRS methods; Conduct formal risk and hazards analysis on all MGRS methods prior to use, in accordance with API RP 75; Improve radio communication protocols with explicit confirmation of 'all stop' commands by the Weatherford Lead; Implement enhanced guarding or engineering controls to prevent worker proximity to moving machinery and tensioned chains; Ensure compliance with approved APM and notify BSEE of any deviations or alternative methods; Provide additional training on communication procedures and hazard recognition for all personnel involved in conductor removal",2.3,medium,True,,False,low,True,low,True,low,True,,False,medium,True,medium,True,low,True,low,True,medium,True,medium,True,"[{""hazard_id"": ""H-001"", ""name"": ""Moving conductor and associated lifting equipment"", ""description"": null}, {""hazard_id"": ""H-002"", ""name"": ""Tensioned chains under extreme tension"", ""description"": null}, {""hazard_id"": ""H-003"", ""name"": ""Marine growth removal system with moving parts"", ""description"": null}, {""hazard_id"": ""H-004"", ""name"": ""Inadequate work environment lighting and wet conditions"", ""description"": null}]","[{""threat_id"": ""T-001"", ""name"": ""Failure to confirm 'all stop' command over radio"", ""description"": null}, {""threat_id"": ""T-002"", ""name"": ""Worker assumption that conductor movement had stopped"", ""description"": null}, {""threat_id"": ""T-003"", ""name"": ""Inadequate risk assessment of MGRS methods"", ""description"": null}, {""threat_id"": ""T-004"", ""name"": ""Lack of management of change procedures for MGRS method switching"", ""description"": null}, {""threat_id"": ""T-005"", ""name"": ""Deviation from approved APM without notification to BSEE"", ""description"": null}, {""threat_id"": ""T-006"", ""name"": ""Worker proximity to moving conductor and tensioned chains"", ""description"": null}]","[{""consequence_id"": ""CON-001"", ""name"": ""Amputation of two fingers (middle and ring finger)"", ""description"": null, ""severity"": null}, {""consequence_id"": ""CON-002"", ""name"": ""Lost time accident exceeding 3 days"", ""description"": null, ""severity"": null}, {""consequence_id"": ""CON-003"", ""name"": ""Permanent disability and loss of manual dexterity"", ""description"": null, ""severity"": null}, {""consequence_id"": ""CON-004"", ""name"": ""Work stand down and operational delay"", ""description"": null, ""severity"": null}, {""consequence_id"": ""CON-005"", ""name"": ""Regulatory non-compliance and potential enforcement action"", ""description"": null, ""severity"": null}]"
1820jan202024_gc20478_murphy_20ev2010r,,,,,,,,,Gulf of Mexico,Murphy Exploration & Production Company – USA,drilling,"['22"" casing', 'drilling fluid']",Loss of Casing String,Equipment Failure / Human Error,"On January 18, 2024, during drilling operations at GC 478, OCS-G35662, Well 004 on the drillship Noble Stanley Lafosse, a 22"" casing connection failed at the rig floor. The S-90/MT pin connection of joint 16 was cross-threaded and made up only ¼ - 3/8 turn instead of the required ½ - ¾ turn. When the flush-mounted slips holding joint 17 were opened to install anti-rotation keys, the axial load transferred to the improperly made-up connection, causing the pin to separate from the box. Seventy-two joints of casing fell partially into the hole and onto the seafloor, breaking apart and impacting critical subsea infrastructure. No injuries or environmental impacts occurred, but damages exceeded $15 million.",Ensure visual inspection of casing connections is completed as per approved running procedures to detect cross-threading and makeup discrepancies; Clarify in JSA and running procedures when anti-rotation keys should be installed relative to slip release; Implement supervisor verification of connection makeup before slips are released; Establish clear communication protocols between crew members regarding casing positioning and connection verification,2.3,low,True,,False,low,True,low,True,low,True,,False,,False,,False,medium,True,low,True,low,True,low,True,"[{""hazard_id"": ""H-001"", ""name"": ""High-pressure casing string under tension"", ""description"": null}, {""hazard_id"": ""H-002"", ""name"": ""Threaded connection failure potential"", ""description"": null}, {""hazard_id"": ""H-003"", ""name"": ""Subsea infrastructure exposure"", ""description"": null}]","[{""threat_id"": ""T-001"", ""name"": ""Cross-threading of casing connection during makeup"", ""description"": null}, {""threat_id"": ""T-002"", ""name"": ""Inadequate makeup turn depth (¼ - 3/8 turn vs. ½ - ¾ turn required)"", ""description"": null}, {""threat_id"": ""T-003"", ""name"": ""Premature release of slips before anti-rotation keys installed"", ""description"": null}, {""threat_id"": ""T-004"", ""name"": ""Failure to visually inspect connection for defects"", ""description"": null}]","[{""consequence_id"": ""CON-001"", ""name"": ""Casing string parting at rig floor"", ""description"": null, ""severity"": null}, {""consequence_id"": ""CON-002"", ""name"": ""72 joints of casing falling into hole and onto seafloor"", ""description"": null, ""severity"": null}, {""consequence_id"": ""CON-003"", ""name"": ""Impact damage to critical subsea infrastructure"", ""description"": null, ""severity"": null}, {""consequence_id"": ""CON-004"", ""name"": ""Potential catastrophic oil release"", ""description"": null, ""severity"": null}, {""consequence_id"": ""CON-005"", ""name"": ""Property damage exceeding $15 million"", ""description"": null, ""severity"": null}]"
